"","Genotype","Batch","Sample","clusters","clusters_eff","cluster_size_mean","cluster_size_std","cluster_gini","cluster_entropy","cluster_inverse_simpson","occupancy_top_cluster","occupancy_big_clusters","alpha_ratio_clusters","pct_clusters_Sa","pct_clusters_Sm","pct_templated_inserts","pct_inversions","pct_duplications","duplication_size","inversion_size","homology_score_fw","homology_score_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","homology","untemplated_inserts","pct_blunt","read_length_mean","read_length_std","GC_content_mean","GC_content_std","read_length_SA_mean","read_length_SA_std","pct_direct_switch","pct_sequential_switch","pct_intraswitch_deletion","intraswitch_size_mean","intraswitch_size_std","break_dispersion_SM","break_dispersion_SA","pct_breaks_SM_SM","pct_breaks_SM_SA","pct_breaks_SA_SA","homology_score_fw_SM_SA","homology_score_rv_SM_SA","donor_score_GGGST_SM_SA","donor_score_S_SM_SA","donor_score_W_SM_SA","donor_score_WGCW_SM_SA","donor_score_GAGCT_SM_SA","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GGGST_SM_SA","acceptor_score_S_SM_SA","acceptor_score_W_SM_SA","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","homology_SA","untemplated_inserts_SA","pct_blunt_SA","clusters_raw","clusters_eff_raw","cluster_size_mean_raw","cluster_size_std_raw","cluster_gini_raw","cluster_entropy_raw","cluster_inverse_simpson_raw","occupancy_top_cluster_raw","occupancy_big_clusters_raw","somatic_variants","frac_variants_transitions","num_variants"
"17","Brca1 KO","20221212","20221212_BC49_switch",86.7,71.5096580764296,0.0115547507727023,0.0066688426834254,0.317790321304675,0.963479608170037,64.8841403033854,0.0321567747953471,0.748975104587079,1,100,0,6.74157303370786,0,0,1639.5,0,0.134715331778879,0.010811021035182,0.0073596278915745,0.0058544992536338,0.0130562442896484,0.0118668792479923,0.0020497887750798,0.0050628869589414,0.0067713767935008,0.006543943850768,0.0067004597660889,0.0027841006962403,3.12034474168009e-06,0.0067109475932467,2.894849482768,2.76667045014782,0,1913.14606741573,391.107231210009,0.498474935145873,0.0131398232576536,1913.14606741573,391.107231210009,98.8525214164252,0,1.14747858357486,211.725973688491,20.6793893921177,325.293874337182,269.466640320134,1.12966488301763,98.8525214164252,0.01781370055723,0.135303491488898,0.0105461797867032,0.0046128464625855,0.0155861705545387,0.01272172943378,0.0215845459736672,0.0237379871099267,0.0111978450140492,0,0,0.0128213509143337,0.012131756677566,0.0167602053331582,0.0122241939071995,2.894849482768,2.76667045014782,0,89,105.077793968889,0.0112359550561797,0.005604516056773,0.276418525105515,0.972733419011006,71.4281230820237,0.0262402969962875,0.67918916638542,59,0.772151898734177,79
"18","Lig4 KO","20221212","20221212_BC72_switch",119.8,25.2461768939083,0.0083718117582615,0.0306943214324653,0.703827418651507,0.675961034767988,8.29365194328089,0.273340358271865,0.631296101159115,1,100,0,2.83687943262411,12.4296030208318,0,1380,410,0.127532479645579,0.0169302061321118,0.0067996654620745,0.0065107888430304,0.0102677184322285,0.0081211550981128,0.0043026598214261,0.0061784210143365,0.0064410365682416,0.0069311106308503,0.0059761298458401,0,0.0013249044320654,0.0069919513374578,2.67107472295118,4.7273951895973,0,1603.78014184397,478.802334023808,0.489177249767343,0.0161366355835416,1603.78014184397,478.802334023808,90.2129911449423,0,9.7870088550577,176.056752324112,88.3417234483291,261.909479733204,379.75166515501,5.87401816248543,90.2129911449423,3.91299069257227,0.11753200230251,0.0159175743045665,0.0100752273049053,0.0144002991410405,0.0141479095918637,0.0173525696149874,0.0169037524565457,0.0136372534560965,0,0.0025336553533483,0.0122753897519471,0.0127573859924038,0.0153795468396171,0.0126739112554682,2.67107472295118,4.7273951895973,0,141,39.5420395292083,0.0070921985815602,0.0284502204514185,0.696199575447638,0.670709871868111,8.30493704384548,0.273686205154118,0.618578406602661,22,0.951219512195122,41
"19","Lig4 KO","20221212","20221212_BC75_switch",112.9,17.3078663560965,0.0089257106982319,0.0355496281519319,0.748256046844104,0.615937594105272,6.64670538215644,0.26259220231823,0.687460484720759,0.99290780141844,99.290780141844,0.70921985815602,2.12765957446808,6.00329255952175,0,1589,410,0.112273785968692,0.0186040232917428,0.0066911723565006,0.0066379454020393,0.0094475765026968,0.0127727948386703,0.0045412415908237,0.0065362697923041,0.0065503580880672,0.0068029831501858,0.0059098189290902,0,0.0025884154841252,0.0068513399403903,2.53170771941727,2.86545109584738,0.70921985815602,1547.85106382979,454.883071814825,0.487150475688215,0.0146966845984941,1549.91428571429,455.846880396638,95.1953533933621,0,4.80464660663788,216.457976489611,145.488128175532,255.348242296355,382.066879613571,1.37754681714988,95.1953533933621,3.42709978948799,0.111717403575862,0.0183684430515657,0.0105803942483662,0.0141901829799772,0.0144006043582526,0.0157820037877229,0.026452130589074,0.014331453258373,0,0.0035243919375938,0.0124333775807619,0.0125763441456504,0.0150574236136362,0.0124581437664316,2.54080315725146,2.88205045959532,0.71428571428571,141,30.0461343890043,0.0070921985815602,0.0314154106493433,0.737798357993895,0.61559590985539,6.88410705040883,0.24996314470442,0.653433860539562,20,0.948717948717949,39
"20","Trp53bp1 KO","20221212","20221212_BC76_switch",82.9,57.8681025206141,0.0120952347961323,0.0111732337373448,0.407901398532801,0.930971754657779,44.7155009717208,0.075814203714325,0.765924268494929,0.988888888888889,98.8888888888889,1.11111111111111,3.33333333333333,2.88452420951651,0,1429,405,0.148545322474719,0.0157658104686285,0.0071325361582671,0.0061206562894564,0.0114301134330028,0.0073619863988041,0.0032791420780909,0.0056502961427184,0.0065683444569958,0.006781902688253,0.006951149114792,0,0.0040229736758734,0.0067758077602737,3.26418376592134,2.50970154125632,0,1716.8,476.818302221437,0.492585991846622,0.0133740486408288,1725.38202247191,472.526879459402,88.1159439513772,0,11.8840560486228,369.468186421549,72.3166420084399,341.22857531735,384.27074864997,6.93046750179371,88.1159439513772,4.95358854682905,0.128810440277365,0.016194126288835,0.0077625967807734,0.0151665994993756,0.0132263236983594,0.0194495003537791,0.0154913505649423,0.012255968072198,0,0.0063374877427327,0.0122647844135872,0.0127695388908677,0.0160246519122469,0.0126678895315521,3.26418376592134,2.50970154125632,0,90,86.0609434441641,0.0111111111111111,0.0107476039845759,0.430068800898624,0.923959587559585,46.7473446596391,0.0762215669755686,0.768934288121314,55,0.931034482758621,58
"21","Rif1 KO","20221212","20221212_BC92_switch",38.5,30.161410004168,0.0261605626621808,0.0262945900924012,0.415047068997261,0.908770544634396,19.0544819044056,0.162870500829157,0.949798550741798,1,100,0,2.5,0,0,1740,0,0.130293435626964,0.0126397644395707,0.0073864107407474,0.0058231091028656,0.0130593072906019,0.0235627002982346,0.0024591614447657,0.0052925098533866,0.0066126001618878,0.0067300339255255,0.0065829048494277,0,0.0027659514102029,0.0065316866258789,2.96806167644233,3.75614883766226,2.5,1800.825,373.79953768698,0.493794591330172,0.0107563972498279,1800.825,373.79953768698,99.9552746860613,0,0.04472531393867,75,0,235.569600088317,341.735884997286,0,99.9552746860613,0.04472531393867,0.130302436150852,0.0126291509698524,0.0055355890603085,0.0156438186797924,0.0126523993095761,0.0215939418756851,0.0471464870107958,0.011704288171471,0,0.0049787125383653,0.0125286483404307,0.0124671712150428,0.0166644164719778,0.0119212075832469,2.96806167644233,3.75614883766226,2.5,40,38.6506025653214,0.025,0.0257299459198167,0.410542212518195,0.909186426702489,19.6776120149718,0.1617903930131,0.957278020378457,12,1,14
"22","Rif1 KO","20230120","20230120_BC01_switch",72.3,43.7532567103111,0.0138751655359689,0.0204253726232332,0.526882277179142,0.867513725108128,22.9064066534116,0.135551857829472,0.814274519480866,1,100,0,5,0,0,1842,0,0.137560966127635,0.011342798673004,0.0074629085240316,0.00573345183992,0.0129317361976726,0.0050332056364264,0,0.0048675014059486,0.0067453226270181,0.0065744799676969,0.0060037401375214,0,0.0011959985573629,0.0066892644737616,3.15292033894979,8.80213818618982,0,1960.2375,538.572029624404,0.499900956046786,0.0192235126563413,1960.2375,538.572029624404,88.8571128420779,0,11.1428871579221,353.332619583609,118.00619715944,391.330816596282,307.513553414319,0.00341758126315684,88.8571128420779,11.139469576659,0.136868132709228,0.0116493759140505,0,0.0160324064661922,0.0121850668616152,0.0223995947634494,0.0113283267890652,0.010114418921285,0,0.0021528709793684,0.012780165448588,0.0121789520396008,0.0151985596606805,0.0122087224896236,3.15292033894979,8.80213818618982,0,80,59.0431179825301,0.0124999999999999,0.0193434186060391,0.550368596276668,0.859486727699122,23.7759772494723,0.129120804457127,0.824025003397201,55,0.826666666666667,75
"23","WT","20230120","20230120_BC04_switch",270,123.537171184381,0.0037076693332699,0.0100641008764456,0.506431827848485,0.863543455430531,32.5013692258895,0.152581664910432,0.286195995785037,1,100,0,1.29533678756476,0.95625682056712,0.23750169399706,1687,276.5,0.1156135548075,0.014108415796124,0.00696666345243,0.0063150631358283,0.0111657307519801,0.0178658656318273,0.0034506752922869,0.0059229477739453,0.0066420343860483,0.0066955362987727,0.0057179332659232,0,0.0010345798989781,0.0065943469504882,2.25275943000119,4.33776172542347,0.77720207253886,1735.97150259067,420.678623618131,0.492713182072956,0.0145118401902874,1735.97150259067,420.678623618131,92.3025196827423,0,7.69748031725771,288.112702600477,173.446703924095,287.784770383441,341.659585635351,3.36577578040657,92.3025196827423,4.33170453685113,0.11432778060917,0.0136023042441213,0.0081155615557468,0.0147931399794687,0.0136754622399214,0.0188127478562472,0.0373496058340648,0.0130480032973036,0,0.0019271058811718,0.0125914809799426,0.0123951698641858,0.0141574797373816,0.0120477798020385,2.25275943000119,4.33776172542347,0.77720207253886,386,217.573771100397,0.0025906735751295,0.0081637646555588,0.535360119338575,0.856141288606379,35.3984943361879,0.14597371967655,0.266530491913747,50,0.94,50
"24","Lig4 KO","20230120","20230120_BC12_switch",138.8,28.3959602867101,0.0072258339704735,0.0280825233245556,0.728952818734865,0.655091959524365,8.61628233967039,0.234984193888303,0.652687038988409,1,100,0,2.48756218905472,6.54947194653885,0.43663146310259,1503.5,410,0.106083792329846,0.0208372723484076,0.0066669678350361,0.0066663136900112,0.0095458171921108,0.0105040591766221,0.0041876647516057,0.0064115138219552,0.0064595508564838,0.0069094114346394,0.0058838578087257,0.0034889774177254,0.0019609412187512,0.0069954628504484,2.58945511481956,4.65453353542516,0.99502487562189,1559.90547263682,504.986543360341,0.486890225871288,0.016554263836931,1559.90547263682,504.986543360341,93.4157844607737,0,6.58421553922632,250.759005902072,159.875907442002,273.899280428033,414.703199540584,4.69700570726093,93.4157844607737,1.88720983196539,0.108108684124861,0.0210278677670194,0.0096034835773968,0.0141433056224226,0.014456981092228,0.0159946114498668,0.0214122117180282,0.0141593341670427,0,0.003703655084446,0.0122625610475262,0.0127720866966115,0.0146184017541138,0.0126901471377879,2.58945511481956,4.65453353542516,0.99502487562189,201,41.1937603736565,0.0049751243781094,0.0237682456033228,0.743769780760143,0.633188487568012,8.47737637805331,0.226374968415733,0.640107807630759,17,0.947368421052632,38
"25","Lig4 KO","20230120","20230120_BC32_switch",125.6,21.2718496027243,0.0079996613137026,0.0336314607242674,0.7522120511244,0.613141946520976,6.70497294274545,0.301791359325606,0.68809272918862,1,100,0,2.45398773006134,2.77756828727094,0,1432.5,411,0.109943184674618,0.0178679056820708,0.0066273704583905,0.0067127227787122,0.0091503757861118,0.0166150960752885,0.0056540369139842,0.0067234512668188,0.0065246278143999,0.0068331396568559,0.0059413761421667,0.0014284606126074,0.0017014553074612,0.0069049217538772,2.5416961828697,4.11481870423513,1.22699386503067,1549.84049079755,447.657775269534,0.487008885455269,0.0141139146995732,1549.84049079755,447.657775269534,93.1356319420036,0,6.86436805799638,236.263373691644,117.577539987228,252.121158636696,361.888472367755,4.57856634395869,93.1356319420036,2.28580171403769,0.110276619372537,0.0172172536662874,0.0130191755953773,0.0140236179307858,0.0146009226773242,0.0153436726226171,0.0340075370145578,0.0148410104482674,0,0.0020119704659486,0.0123958946598061,0.0126192966773895,0.0149265824193577,0.0125337444056332,2.5416961828697,4.11481870423513,1.22699386503067,163,31.6396420113084,0.0061349693251533,0.0292565480164549,0.743441194358081,0.608217989827684,6.90616525748839,0.298008085572307,0.676029647098459,23,0.9,40
"26","Rif1 KO","20230120","20230120_BC47_switch",51.2,32.4928347123165,0.0196352396522111,0.0257751102221882,0.484361446404873,0.87773659897608,18.8067430993536,0.165298915580691,0.908286092844789,1,100,0,5.88235294117647,0,0,1652,0,0.126134864721139,0.0100176619582671,0.0070871382483039,0.0061738637443133,0.0112729349200032,0.0108457964744592,0.0019743504892838,0.005669506893261,0.0067741509280899,0.0065406924975441,0.0058491184646452,0,2.11637351415758e-06,0.0062482601328897,2.98222782629467,7.54472814114538,0,1841.09803921569,387.911009347023,0.494939238101297,0.010805247009624,1841.09803921569,387.911009347023,94.4215810594375,0,5.57841894056248,436.917556906393,33.7055263113725,248.815556300457,284.787034286619,0.0223035538446,94.4215810594375,5.55611538671788,0.123570184299816,0.010604858616283,0.0047036275763945,0.0150601158104162,0.0133543855797952,0.0190139249089769,0.022967705148659,0.0124760041035761,0,3.81032216273886e-06,0.012835036951062,0.0121160735367658,0.0148078522037669,0.0114030006906399,2.98222782629467,7.54472814114538,0,51,44.1980436617634,0.0196078431372549,0.025148588767674,0.462857099742715,0.885556288176842,19.5196529671821,0.16105861729873,0.926076360682372,19,0.896551724137931,29
