"","material","Batch","Sample","nclusters_final_downsampled","nclusters_eff_downsampled","mean_cluster_size_downsampled","std_cluster_size_downsampled","cluster_gini_downsampled","cluster_entropy_downsampled","cluster_inverse_simpson_downsampled","top_clone_occupancy_downsampled","big_clones_occupancy_downsampled","alpha_ratio_clusters","frac_clusters_Sa","frac_clusters_Sm","insert_frequency","frac_breaks_inversions","frac_breaks_duplications","median_duplication_size","median_inversion_size","homology_fw","homology_rv","donor_score_S","donor_score_W","donor_score_WGCW","donor_score_GAGCT","donor_score_GGGST","donor_complexity","acceptor_score_S","acceptor_score_W","acceptor_score_WGCW","acceptor_score_GAGCT","acceptor_score_GGGST","acceptor_complexity","n_homology_switch","n_untemplated_switch","frac_blunt","mean_length","std_length","mean_GC","std_GC","mean_length_SA","std_length_SA","frac_breaks_single","frac_breaks_sequential","frac_breaks_intra","mean_intra_break_size","std_intra_break_size","spread_SM","spread_SA","frac_breaks_SM_SM","frac_breaks_SM_SA","frac_breaks_SA_SA","homology_fw_SM_SA","homology_rv_SM_SA","donor_score_GGGST_SM_SA","donor_score_S_SM_SA","donor_score_W_SM_SA","donor_score_WGCW_SM_SA","donor_score_GAGCT_SM_SA","donor_complexity_SM_SA","acceptor_score_GAGCT_SM_SA","acceptor_score_GGGST_SM_SA","acceptor_score_S_SM_SA","acceptor_score_W_SM_SA","acceptor_score_WGCW_SM_SA","acceptor_complexity_SM_SA","n_homology_switch_SA","n_untemplated_switch_SA","frac_blunt_SA","nclusters_final","nclusters_eff","mean_cluster_size","std_cluster_size","cluster_gini","cluster_entropy","cluster_inverse_simpson","top_clone_occupancy","big_clones_occupancy","frac_variants_germline","frac_variants_transitions","num_variants"
"11","splenocytes","20240817","20240817_S.C4",3,3.34837939822829,0.333333333333333,0.146428614876848,0.225902070546536,0.89821709020098,2.51468938941718,0.468978088239711,1,1,1,0,0,0,0,1465,0,0.145505501793202,0.0012592699124795,0.0060777052915039,0.0073569437258278,0.0088288065237845,0,0,0.0062993564189992,0.0069560334421361,0.0063275217664856,0.0108996777175166,0,0,0.0069493039221601,2.98896616094763,3.15879677541117,0,1756,363.584928180473,0.512647580544398,0.0092203504686662,1756,363.584928180473,0.399681529918907,0,0.600318470081093,522.916202784215,139.863639093397,300.496479453754,312.060813513757,0,0.399681529918907,0.600318470081093,0.0914712582245859,7.71003031044291e-05,0,0.0107208066467889,0.0185730261157874,0.0046169457128361,0,0.017817902591976,0,0,0.0131793386424742,0.0117215303968213,0.0275921911450421,0.0126834153810915,2.98896616094763,3.15879677541117,0,3,3.8882830261901,0.333333333333333,0.179229148504474,0.224331320103537,0.898012850574382,2.51522017147854,0.465918895599655,1,0.416666666666667,0.333333333333333,24
"12","lymph node","20240817","20240817_L.A1",3,3.78812065066262,0.333333333333333,0.0615988849372466,0.0990532804156718,0.984094651441548,2.90025345262945,0.404456245968673,1,1,1,0,0,0,0,4.5,0,0.146976533217422,0.0196615979079904,0.0078024237180653,0.0053355317732376,0.0145904900610531,0.0833333333333318,0,0.005153139827291,0.0064210585024978,0.0069545254099019,0.0064553242912462,0,0,0.0078693684831792,2.93865898452232,0.514703041435528,0,1690.66666666667,317.172228012199,0.490990405780743,0.0038853981618289,1690.66666666667,317.172228012199,1,0,0,0,0,125.021417438308,424.521316584899,0,1,0,0.146976533217422,0.0196615979079904,0,0.0165235001501886,0.0115944563958398,0.0241176137082248,0.166666666666664,0.0113983506275544,0,0,0.0121657414604909,0.0128830344637292,0.0163414503037143,0.0143626570915619,2.93865898452232,0.514703041435528,0,3,4.52705660205764,0.333333333333333,0.0807520532731901,0.107342615732476,0.981816625556959,2.88704337519379,0.410210639057479,1,0.2,0.75,20
"13","lymph node","20240817","20240817_L.A2",1,1.16248890737947,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0825758713045449,0.02110808366966,0.006155028838498,0.0072663186477261,0.0105491807149265,0,0.0100664767331434,0.0077795769709993,0.0056853340767351,0.0078168123346229,4.72210416961799e-06,0,0,0.0088490039699955,0.562393162393162,2.15042735042735,0,1239,0,0.485875706214689,0,1239,0,1,0,0,0,0,14.3518500845004,2.0654779442094,0,1,0,0.0825758713045449,0.02110808366966,0.0226495726495726,0.0130347471006811,0.0157901814289479,0.0174374585333489,0,0.0172078284349824,0,0,0.010771791670668,0.014480393235758,1.19538581077043e-05,0.016150623762832,0.562393162393162,2.15042735042735,0,1,1.23934967459213,1,0,0,0,1,1,1,0,1,2
"14","lymph node","20240817","20240817_L.A3",1.3,1.59060992037243,0.85,0.127497340511887,0.127497340511887,0.384294910209887,1.04833959225988,0.977497340511887,1,1,1,0,0.5,0,0,1.5,0,0.304738617507023,0.008297480085908,0.0075389558552162,0.0056443225177931,0.0179277504252483,0,0,0.0046212562765964,0.0071635244928096,0.0060843372075294,0.0110354844221677,0,0,0.0062974620133326,4.89428592963562,3.7410202081955,0,2094.5,4.5,0.496777002491503,0.0001262847881538,2094.5,4.5,1,0,0,0,0,24.9948439310961,4.23549006862097,0,1,0,0.304738617507023,0.008297480085908,0,0.0159655438754893,0.0122654786997733,0.0296339984198168,0,0.0102218649494951,0,0,0.0135724642426969,0.0112710388291841,0.0279359815442289,0.0114937161270268,4.89428592963562,3.7410202081955,0,2,1.8999762501425,0.5,0.603809555621645,0.426957831325301,0.377175223579968,1.15662296608669,0.926957831325301,1,0,0.928571428571429,14
"15","lymph node","20240817","20240817_L.A4",1,1.99932403807361,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.0477612009974555,0.0300986711018146,0.0070697488984664,0.0061942444853479,0.0133348972278621,0.23920204978038,0,0.0079118550077498,0.0064255973280281,0.0069492057959658,0,0,0,0.004918355301987,0.615666178623719,0.430453879941435,0,1370,0,0.478102189781022,0,1370,0,1,0,0,0,0,10.1644317617053,3.30646845993013,0,1,0,0.0477612009974555,0.0300986711018146,0,0.0149718858148057,0.0134604947815647,0.0220421588880643,0.478404099560761,0.0175004173213195,0,0,0.0121743410049297,0.0128731800501448,0,0.0089766606822262,0.615666178623719,0.430453879941435,0,1,2.36309071804356,1,0,0,0,1,1,1,0,0.5,2
"16","lymph node","20240817","20240817_L.B1",1,1.16767733176925,1,0,0,0,1,1,1,1,1,0,1,0,0,1833,0,0.120553359683794,0,0.007907091672844,0.0052128583840139,0.0138979444768539,0,0,0.0039469037578678,0.0054361255250803,0.0081088908195771,0.005524861878453,0,0,0.0082628369073381,1.22698795180723,10.1166265060241,0,1954,0,0.495905834186284,0,1954,0,1,0,0,0,0,8.67344102100919,0,0,1,0,0.120553359683794,0,0,0.0167451596023024,0.0113278791692888,0.0229728579937037,0,0.0087302488256058,0,0,0.0102996254681647,0.0150214592274678,0.0139860139860139,0.01508078994614,1.22698795180723,10.1166265060241,0,1,1.27251721888254,1,0,0,0,1,1,1,0,0.714285714285714,7
"17","lymph node","20240817","20240817_L.B2",1,1.09136439914635,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.136170169574909,0.039736259929724,0.006963847864515,0.0063183630733587,0.0092789346932993,0.116185897435897,0,0.0080024162996816,0.0063061115229388,0.0070892460662226,0.0041746352174528,0,0,0.0071724438424713,4.44016064257028,1.08433734939759,0,2046,0,0.510752688172043,0,2046,0,0.5,0,0.5,768.532051282051,4.39758073320575,12.800465094693,535.371423590792,0,0.5,0.5,0.139050281809129,0.0690877806350566,0,0.0148432153926659,0.0136152393861645,0.021543144830816,0.46474358974359,0.0175598625337528,0,0,0.0119479556803995,0.0131326001430615,0.0105679576833422,0.0130906757814298,4.44016064257028,1.08433734939759,0,1,1.13269609721221,1,0,0,0,1,1,1,0,0,0
"18","lymph node","20240817","20240817_L.B3",4.2,2.22605302124632,0.276666666666667,0.339332831823255,0.599593460259155,0.426628599074285,1.37907879151589,0.847432345303827,0.995876917993119,1,1,0,0.166666666666667,0,0,944,0,0.152859464145366,0.0092287777055279,0.0054967041456977,0.0080378912025373,0.0053221604614682,0.0002477933691648,0,0.0080492922820199,0.0067222770358071,0.0066014899612187,0.0088180786306558,0,0,0.007399710979756,2.85335054581457,12.4700981018301,0,1938.5,238.41612781018,0.492158854900055,0.0016006007799835,1938.5,238.41612781018,0.461495817809505,0,0.538504182190495,892.841032079724,632.695183286841,38.6729109269768,850.318943112579,0,0.461495817809505,0.538504182190495,0.0827303721560858,0.012528622605376,0,0.0109147200955018,0.0183398174307715,0.0038685159002488,0.0010738704863717,0.0192828315244227,0,0,0.012736449046775,0.0122290476588457,0.0223226885615203,0.013505468908474,2.85335054581457,12.4700981018301,0,6,2.87243607107971,0.166666666666667,0.328610702447195,0.726176725382616,0.366647476154483,1.41524460492582,0.835402829916258,0.987799595726249,0.153846153846154,0.307692307692308,13
"19","lymph node","20240817","20240817_L.C3",3.3,4.19133570856605,0.308333333333333,0.0738553970919137,0.136510002594653,0.969468831381766,3.06401292083763,0.393222708592168,1,1,1,0,0.25,0,0,1192.5,0,0.116434894862596,0.0003444445833718,0.0079419730104729,0.0051719766077659,0.0163679477193618,0,0,0.0036538443529975,0.006675849725413,0.0066559038984226,0.0028458776618739,0,0,0.0044816987791703,2.25565113909279,6.86978809330826,0,2123,304.140592489723,0.500492286656507,0.0113696563632273,2123,304.140592489723,0.998266897746967,0,0.0017331022530329,75,0,116.883133628114,187.118681203376,0.0017331022530329,0.998266897746967,0,0.116319457476475,0.0002896347760217,0,0.0168190291854443,0.011239040419519,0.027055694403694,0,0.0080820238669653,0,0,0.0126517500381658,0.0123261061794408,0.0071924758491922,0.0081677226798697,2.25565113909279,6.86978809330826,0,4,4.76777855312393,0.25,0.117684923146667,0.224713418745785,0.932702884679843,3.42995254218256,0.369521240728253,1,0.5,0.692307692307692,26
"20","lymph node","20240817","20240817_L.C4",3.9,3.59345078840424,0.258333333333333,0.172797920997302,0.371698847972348,0.821832902645079,2.66411433694281,0.506124643759463,1,1,1,0,0,0,0,1760.5,0,0.131744237268331,0.0165921749804476,0.0073240102369506,0.005896244011312,0.0116930478209596,0.0603710462287103,0,0.0057803697181399,0.006328018015828,0.0070635711236443,0.0056914442523552,0,0,0.0072600225608908,1.49306425851477,40.4236889629404,0,1596.5,231.229863988197,0.488378034758628,0.0081964620606131,1596.5,231.229863988197,1,0,0,0,0,191.905870158989,332.895295746007,0,1,0,0.131744237268331,0.0165921749804476,0,0.0155103450700886,0.0128129204349028,0.0193282342976593,0.120742092457421,0.0127857351076176,0,0,0.0119894611002135,0.0130850381383819,0.0144077120234447,0.0132505187350119,1.49306425851477,40.4236889629404,0,4,4.21730338971103,0.25,0.201105999315187,0.383743274404304,0.814681809608051,2.69301607757969,0.501921598770177,1,0.5,0.833333333333333,12
